QueryID,Iteration,DocId,Relevance
Q1,1,C00527.txt,1
Q1,1,C00500.txt,1
Q1,1,C00441.txt,1
Q1,1,C00721.txt,1
Q1,1,C00832.txt,1
Q1,1,C00073.txt,1
Q1,1,C00454.txt,1
Q1,1,L00213.txt,1
Q1,1,C00432.txt,1
Q1,1,L00030.txt,1
Q1,1,L00260.txt,1
Q1,1,C00121.txt,1
Q1,1,L00454.txt,1
Q1,1,C00539.txt,1
Q1,1,L00074.txt,1
Q1,1,C00463.txt,1
Q1,1,L00358.txt,1
Q1,1,C00427.txt,1
Q1,1,C00293.txt,1
Q1,1,C00992.txt,1
Q2,1,C00306.txt,1
Q2,1,C00108.txt,1
Q2,1,C00101.txt,1
Q2,1,C00437.txt,1
Q2,1,C00227.txt,1
Q2,1,C00973.txt,1
Q2,1,M00353.txt,1
Q2,1,C00659.txt,1
Q2,1,C00497.txt,1
Q2,1,C00598.txt,1
Q2,1,C00552.txt,1
Q2,1,C00354.txt,1
Q2,1,C00540.txt,1
Q2,1,C00009.txt,1
Q2,1,C00477.txt,1
Q2,1,S00242.txt,1
Q2,1,S00346.txt,1
Q2,1,C00293.txt,1
Q2,1,C00627.txt,1
Q2,1,C00535.txt,1
Q3,1,D00101.txt,1
Q3,1,D00729.txt,1
Q3,1,D00463.txt,1
Q3,1,D00155.txt,1
Q3,1,D00809.txt,1
Q3,1,D00141.txt,1
Q3,1,D00819.txt,1
Q3,1,D00240.txt,1
Q3,1,C00344.txt,1
Q3,1,D00545.txt,1
Q3,1,D00221.txt,1
Q3,1,D00664.txt,1
Q3,1,D00501.txt,1
Q3,1,D00505.txt,1
Q3,1,D00685.txt,1
Q3,1,D00073.txt,1
Q3,1,D00409.txt,1
Q3,1,D00676.txt,1
Q3,1,D00158.txt,1
Q3,1,D00110.txt,1
Q4,1,M00017.txt,1
Q4,1,M00016.txt,1
Q4,1,M00018.txt,1
Q4,1,C00112.txt,1
Q4,1,M00007.txt,1
Q4,1,M00170.txt,1
Q4,1,M00011.txt,1
Q4,1,M00172.txt,1
Q4,1,M00224.txt,1
Q4,1,C00334.txt,1
Q4,1,C00564.txt,1
Q4,1,C00630.txt,1
Q4,1,M00013.txt,1
Q4,1,C00157.txt,1
Q4,1,M00374.txt,1
Q4,1,C00822.txt,1
Q4,1,M00003.txt,1
Q4,1,C00520.txt,1
Q4,1,C00763.txt,1
Q4,1,M00206.txt,1
Q5,1,S00968.txt,1
Q5,1,D00948.txt,1
Q5,1,S00783.txt,1
Q5,1,D00270.txt,1
Q5,1,M00230.txt,1
Q5,1,R00029.txt,1
Q5,1,T00628.txt,1
Q5,1,C00524.txt,1
Q5,1,T00572.txt,1
Q5,1,L00153.txt,1
Q5,1,S00363.txt,1
Q5,1,T00590.txt,1
Q5,1,D00892.txt,1
Q5,1,S00230.txt,1
Q5,1,M00016.txt,1
Q5,1,M00018.txt,1
Q5,1,T00005.txt,1
Q5,1,C00092.txt,1
Q5,1,D00545.txt,1
Q5,1,L00318.txt,1
Q6,1,S00844.txt,1
Q6,1,M00040.txt,1
Q6,1,M00245.txt,1
Q6,1,M00171.txt,1
Q6,1,M00219.txt,1
Q6,1,M00177.txt,1
Q6,1,M00205.txt,1
Q6,1,M00207.txt,1
Q6,1,M00039.txt,1
Q6,1,M00085.txt,1
Q6,1,M00033.txt,1
Q6,1,M00166.txt,1
Q6,1,M00223.txt,1
Q6,1,S00010.txt,1
Q6,1,S00196.txt,1
Q6,1,M00056.txt,1
Q6,1,D00878.txt,1
Q6,1,M00302.txt,1
Q6,1,M00243.txt,1
Q6,1,S00223.txt,1
Q7,1,C00465.txt,1
Q7,1,C00301.txt,1
Q7,1,C00052.txt,1
Q7,1,S00777.txt,1
Q7,1,C00872.txt,1
Q7,1,C00551.txt,1
Q7,1,C00091.txt,1
Q7,1,C00955.txt,1
Q7,1,C00820.txt,1
Q7,1,C00631.txt,1
Q7,1,C00257.txt,1
Q7,1,C00759.txt,1
Q7,1,C00369.txt,1
Q7,1,S00401.txt,1
Q7,1,C00140.txt,1
Q7,1,C00051.txt,1
Q7,1,C00113.txt,1
Q7,1,R00172.txt,1
Q7,1,C00681.txt,1
Q7,1,C00333.txt,1
Q8,1,D00714.txt,1
Q8,1,D00646.txt,1
Q8,1,D00664.txt,1
Q8,1,D00668.txt,1
Q8,1,D00598.txt,1
Q8,1,D00808.txt,1
Q8,1,D00837.txt,1
Q8,1,D00317.txt,1
Q8,1,D00197.txt,1
Q8,1,D00968.txt,1
Q8,1,D00594.txt,1
Q8,1,D00410.txt,1
Q8,1,D00800.txt,1
Q8,1,D00547.txt,1
